StoreID	Address	City	ZipCode	County
2642	512 E Oskaloosa	Pella	50219	MARION
2643	2126 Kimball Ave	Waterloo	50701	BLACK HAWK
2644	1511 2nd Ave North	Fort Dodge	50501	WEBSTER
2647	5050 Edgewood Rd	Cedar Rapids	52411	LINN
2648	555 S 51st St	West Des Moines	50265	POLK
2649	400 Locust St	Dubuque	52001	DUBUQUE
2650	1808 23rd St	Harlan	51537	SHELBY
2651	1311 4 Street SW	Waverly	50677	BREMER
2652	875  4th St SW	Mason City	50401	CERRO GORD
2653	1004 W Madison St	Washington	52353	WASHINGTON
2655	1200 S 16TH ST	Clarinda	51632	PAGE
2656	300  10th St	Corning	50841	ADAMS
2657	1604 Bent	Bedford	50833	TAYLOR
2658	402 S Hayes St	Mount Ayr	50854	RINGGOLD
2660	1951 S Main Ave	Sioux Center	51250	SIOUX
2661	1989 Park St	Sheldon	51201	OBRIEN
2662	"522 Mulberry, Suite A"	Muscatine	52761	MUSCATINE
2663	8701 Douglas	Urbandale	50322	POLK
2665	1005 E Hickman Rd	Waukee	50263	Dallas
2666	2510 SW State St	Ankeny	50023	POLK
2667	2611 Pierce St	Sioux City	51104	WOODBURY
2668	1004 W 1st St	Leon	50144	DECATUR
2669	"105, E Jackson St"	Corydon	50060	WAYNE
2670	2004 8th  St	Coralville	52241	JOHNSON
2671	"106, W Washington St"	Jefferson	50129	GREENE
2672	923 N  1st St	Winterset	50273	MADISON
2673	420 Court Ave	Des Moines	50309	POLK
2674	720 East Main	Lamoni	50140	DECATUR
2675	3285 Crosspark Rd	Coralville	52241	JOHNSON
2676	912 N Jefferson Way	Indianola	50125	WARREN
2677	607 N 18th St	Centerville	52544	APPANOOSE
2678	3200 E KIMBERLY RD.	Davenport	52807	SCOTT
2679	3950 Prarie Fire NW	Altoona	50009	POLK
2681	1300 W Burlington	Fairfield	52556	JEFFERSON
2683	425 S Jordan Creek Pkwy	West Des Moines	50266	POLK
2684	315 HWY 69 North	Forest City	50436	WINNEBAGO
2685	255 West US HWY 18	Garner	50438	HANCOCK
2687	3470 Middle Road	Bettendorf	57222	SCOTT
2688	1025 East Hickman	Waukee	50263	Dallas
2689	8607 Douglas Ave	Urbandale	50322	POLK
2691	5801 Hickman Road	Urbandale	50322	POLK
2693	600 Sheldon Street Ste A	Creston	50801	UNION
2695	4701 Fleur Dr	Des Moines	50321	POLK
2696	1113 SE Army Post Rd	Des Moines	50315	POLK
